지역별,소계,2012년,2013년,2014년,2015년,2016년
서울,761427,160086,153765,155452,148430,143694
인천,103323,18937,20598,22032,20999,20757
경기,4269771,784389,843829,838152,882098,921303
강원,2305640,548244,479642,440533,455207,382014
대전,192487,37401,36735,40061,40008,38282
충북,4330253,849506,856110,916208,844121,864308
충남,65437,11252,11737,13034,14694,14720
세종,2254,335,475,502,503,439
광주,884182,115398,159990,203138,198398,207258
전북,2173541,470848,429776,426881,450074,395962
전남,325273,71048,64431,65628,65508,58658
대구,592550,119217,117109,123632,117456,115136
경북,113908,20341,22460,23657,24576,22874
부산,339497,77986,69849,70290,64573,56799
울산,307477,58843,53052,63129,67554,64899
경남,1948741,421472,399695,386162,389413,351999
제주,97696,18432,18373,19676,20488,20727
