지역별,소계,2012년 ,2013년,2014년,2015년,2016년
서울,593330,116244,116303,118569,121344,120870
인천,155195,29409,29456,30069,32820,33441
경기,708207,137496,138109,141592,143393,147617
강원,171137,33518,33679,34064,34524,35352
대전,102659,19893,19999,20524,20997,21246
충북,135038,26029,26121,26877,27633,28378
충남,175290,34892,33616,34646,35610,36526
세종,9888,-,1945,2289,2676,2978
광주,97052,18742,18892,19388,19781,20249
전북,133762,25729,26057,26711,27298,27967
전남,161264,31438,31454,32147,32810,33415
대구,154649,30023,30015,30649,31720,32242
경북,224724,43732,43844,44866,45241,47041
부산,221242,42798,43164,44167,44997,46116
울산,84670,16283,16339,16798,17375,17875
경남,269489,51932,52360,53633,55039,56525
제주,66541,11969,12584,13160,13934,14894
