지역별,소계,2012년,2013년,2014년,2015년,2016년
서울,29.68,30.6,28.7,29.7,30.3,29.1
인천,31,31.5,31.2,32.3,30.5,29.5
경기,29.84,30,29.3,29.9,30.5,29.5
강원,25.72,26.3,25.2,25.5,26.8,24.8
대전,28.56,27,28.7,28.1,28.4,30.6
충북,28.32,29.1,28.9,28.2,28.5,26.9
충남,28.58,29.4,28.9,28.8,28.2,27.6
세종,,,,,,
광주,27.98,29,28.7,27.5,27,27.7
전북,25.52,28.3,25.8,26.3,24.1,23.1
전남,24.52,24.4,24.4,25.3,24.4,24.1
대구,25.4,26.6,25.9,25.2,24.4,24.9
경북,24.14,24.6,23.3,25.2,24,23.6
부산,25.76,27,24.7,25.9,26,25.2
울산,23.16,24.5,20.1,24.5,22.9,23.8
경남,23.96,23.6,23.1,24.6,24.3,24.2
제주,28.32,29.5,28.5,28.8,25.8,29
