지역별,소계,2012년,2013년,2014년,2015년,2016년
서울,60.64,59.1,60.7,60.3,61.6,61.5
인천,60.2,59.1,58.4,61.8,60.8,60.9
경기,60.72,59.4,60.2,61.4,61.6,61
강원,57.92,57.2,57.8,58.2,59.1,57.3
대전,58.96,58.9,58.7,58.3,59.2,59.7
충북,57.86,57.2,58.6,57,58.5,58
충남,55.08,52.3,53,57,56.6,56.5
세종,0,0,0,0,0,0
광주,58.48,58.5,58.2,58.9,60.2,56.6
전북,50.96,48.3,51.2,52.2,51.7,51.4
전남,51.28,49.6,50.4,52.2,52.4,51.8
대구,58.94,58.7,60.1,59.7,58.7,57.5
경북,54.42,53.1,53.6,55,56.1,54.3
부산,60.62,60.4,60.5,61,60.9,60.3
울산,62.3,61.2,60.4,63.2,63.6,63.1
경남,60.14,58.8,60.5,61.2,60.6,59.6
제주,57.56,55.1,58.2,61.1,55,58.4
