도시명,범죄대분류,강력범죄,강력범죄,강력범죄,강력범죄,강력범죄,강력범죄,강력범죄,강력범죄,절도범죄,폭력범죄,폭력범죄,폭력범죄,폭력범죄,폭력범죄,폭력범죄,폭력범죄,폭력범죄,지능범죄,지능범죄,지능범죄,지능범죄,지능범죄,지능범죄,지능범죄,지능범죄,지능범죄,풍속범죄,풍속범죄,특별경제범죄,마약범죄,보건범죄,환경범죄,교통범죄,노동범죄,안보범죄,선거범죄,병역범죄,기타범죄
-,범죄중분류,살인기수,살인미수등,강도,강간,유사강간,강제추행,기타 강간  강제추행등,방화,절도범죄,상해,폭행,체포  감금,협박,약취  유인,폭력행위등,공갈,손괴,직무유기,직권남용,증수뢰,통화,문서  인장,유가증권인지,사기,횡령,배임,성풍속범죄,도박범죄,특별경제범죄,마약범죄,보건범죄,환경범죄,교통범죄,노동범죄,안보범죄,선거범죄,병역범죄,기타범죄
계,,356,558,1149,5155,583,16054,408,1502,203037,50028,165803,1318,15870,201,13302,3745,59127,531,437,260,1811,13295,219,241613,50053,4358,12719,13446,65025,7329,14662,4349,600401,2457,81,1018,16651,260539
서울,,46,100,260,1129,123,4667,72,286,46861,6949,39337,268,3036,35,2615,694,11667,111,129,45,867,2932,101,51561,15367,1024,3498,2149,17109,1449,3875,58,74270,509,19,180,4120,44407
부산,,29,43,137,314,28,951,30,98,16777,4637,9749,77,1031,20,1052,416,3462,64,34,28,53,1212,6,20372,2971,312,1064,1137,8134,963,2365,223,32944,209,6,60,662,22296
대구,,17,12,51,197,37,632,14,68,9171,2863,7457,47,600,8,534,192,2856,31,23,9,39,558,4,10547,1892,124,643,943,2756,334,289,11,31682,96,2,28,615,10712
인천,,20,28,88,347,47,1176,27,84,10025,2289,11762,132,870,10,899,255,3664,13,15,12,131,668,12,13175,2997,225,1228,483,3741,641,957,85,30972,80,4,64,1281,14952
광주,,9,8,47,170,21,488,15,38,6050,1309,4797,43,400,8,389,114,1550,20,8,9,19,444,6,6753,1516,121,266,401,1616,75,249,8,22137,29,8,7,330,4809
대전,,16,9,35,171,14,420,15,44,6981,1415,5121,30,528,4,418,130,1537,10,15,6,78,403,2,7065,1328,72,336,560,1465,117,213,14,14524,96,1,17,555,5268
울산,,7,15,33,112,16,293,9,38,4227,1422,4026,28,461,3,268,95,1500,9,13,6,19,279,0,4873,827,94,174,752,1159,78,226,47,14105,75,2,33,222,4784
세종,,1,1,3,10,1,40,0,2,638,162,377,3,45,2,42,30,161,10,4,3,2,39,1,562,189,11,29,28,357,8,22,4,1234,6,1,7,131,495
고양,,6,5,11,83,4,247,4,22,2606,555,2685,19,271,4,195,46,894,7,9,3,36,198,3,3795,1185,71,223,128,1010,92,214,41,12280,47,2,10,347,4025
과천,,0,1,1,0,1,20,0,2,159,36,179,0,26,0,9,2,49,1,0,1,11,21,0,161,79,6,32,3,40,2,5,8,934,0,0,1,2,358
광명,,1,1,4,32,3,92,2,8,1221,237,1320,8,111,1,97,14,290,2,0,0,7,47,3,1044,373,25,74,70,756,26,104,10,3141,12,0,9,63,1476
광주,,3,10,4,16,2,60,5,4,881,237,955,8,118,0,85,25,371,1,0,0,7,61,2,1298,263,30,59,89,317,19,64,66,4171,12,0,2,110,2175
구리,,1,5,1,30,3,83,2,11,936,184,935,4,74,0,69,14,269,2,5,1,16,68,2,1141,256,10,105,26,244,30,56,4,2225,12,0,3,75,1123
군포,,0,1,3,18,2,66,2,4,837,164,831,5,65,0,56,13,285,2,1,0,3,48,1,1146,207,17,64,32,314,9,81,2,2801,4,1,2,63,1101
김포,,2,2,6,20,3,92,3,6,1004,189,670,5,52,0,50,7,325,2,0,1,7,49,1,1714,405,21,64,45,398,44,56,3,4124,5,0,3,64,1863
남양주,,3,7,9,60,2,165,2,18,1470,395,2041,20,208,3,98,31,595,2,2,1,24,134,7,2190,507,34,91,109,555,63,359,63,5542,35,1,13,236,3232
동두천,,1,0,0,6,0,37,3,6,342,106,385,3,44,0,33,5,153,2,0,1,1,32,2,453,87,14,22,13,104,9,21,5,1158,0,0,1,41,454
부천,,6,11,17,108,15,339,10,24,4471,560,3398,23,319,2,226,87,1221,6,3,4,16,228,6,5094,1028,66,225,185,1054,80,132,19,10437,54,2,12,311,6287
성남,,5,4,17,114,10,348,6,21,3963,755,3115,11,340,5,222,47,1058,6,15,1,61,210,1,4090,1110,76,350,248,1459,66,204,13,12472,25,2,11,314,6863
수원,,10,19,26,124,24,408,14,29,5610,951,4326,26,493,5,437,85,1560,7,17,2,45,298,4,5517,1211,76,394,290,1402,95,324,20,17841,59,5,17,415,8542
시흥,,8,7,9,57,4,120,1,15,1500,343,1742,13,187,1,153,31,673,1,2,1,3,81,3,2311,429,25,113,80,549,55,72,79,10640,14,0,10,183,4021
안산,,4,20,19,98,8,307,3,32,3285,546,3284,18,334,1,253,60,1326,4,7,1,16,238,4,4221,841,44,257,146,1039,110,147,106,13356,13,0,23,268,6007
안성,,2,4,3,15,2,55,1,4,791,150,630,2,59,1,39,8,238,1,1,0,7,42,0,697,160,17,35,21,209,29,41,9,2778,3,0,5,73,1158
안양,,6,4,7,45,4,220,3,9,2003,458,2192,10,202,3,188,32,644,5,8,3,20,113,1,2208,733,23,276,257,746,35,113,8,5789,359,0,5,135,2876
양주,,0,2,2,27,1,32,2,5,445,170,789,3,75,1,30,9,246,2,0,1,3,48,1,949,164,22,37,23,173,15,94,68,2771,4,1,7,117,968
여주,,2,5,0,14,1,45,0,3,450,121,360,2,39,1,31,8,126,4,3,0,7,33,0,508,99,12,27,16,118,11,21,3,2064,0,0,2,15,874
오산,,1,4,1,20,3,67,1,6,1017,194,852,5,64,0,99,12,319,0,0,0,10,54,2,809,178,8,73,37,236,8,65,22,2738,1,0,8,119,1837
용인,,2,13,5,38,10,184,3,12,2468,474,2346,17,237,4,121,34,810,10,6,2,23,193,2,2925,691,64,186,119,614,90,140,86,8695,24,1,11,203,4291
의왕,,1,1,1,6,0,26,1,0,232,50,347,4,36,0,9,5,117,4,2,1,3,17,0,337,69,6,27,23,106,5,18,1,1765,1,0,3,38,616
의정부,,4,9,17,45,6,141,3,17,1753,391,1958,22,168,5,108,22,636,2,2,3,22,124,1,1859,542,18,115,73,562,117,108,7,3726,57,1,4,160,2064
이천,,1,0,2,26,1,64,1,2,632,196,854,11,73,2,62,19,281,3,2,0,8,39,0,1066,145,10,60,30,186,16,58,25,3023,5,0,6,59,1364
파주,,3,2,4,38,3,85,1,9,1291,288,1180,6,110,1,77,28,396,2,0,2,8,97,2,1990,392,36,47,108,486,38,64,65,6456,11,0,10,142,1705
평택,,4,6,9,48,9,148,8,20,1813,568,2008,20,211,2,177,48,795,4,1,1,20,141,0,2313,486,33,188,69,674,111,130,78,9630,12,1,7,141,5288
포천,,2,4,3,30,1,45,2,16,546,179,577,7,64,1,59,9,216,2,1,1,5,53,1,839,120,12,22,25,228,18,29,160,2872,12,0,5,82,883
하남,,2,1,1,2,0,19,0,3,528,137,379,4,42,1,49,6,173,2,0,1,5,44,1,490,161,13,21,98,133,7,54,15,2771,1,0,0,62,1217
화성,,4,9,3,24,7,129,2,17,1866,553,1550,13,153,5,180,52,613,1,0,4,10,126,2,2184,625,70,82,82,605,55,197,213,8262,13,0,3,189,4984
강릉,,0,0,5,30,5,58,1,8,786,489,767,7,79,0,59,12,416,2,0,1,5,65,0,942,178,13,36,21,156,9,54,21,2387,5,0,2,41,1252
동해,,0,3,2,12,2,24,3,1,179,243,257,1,31,1,34,5,134,1,1,1,0,22,0,290,39,13,14,13,73,3,30,18,1530,0,0,4,26,523
삼척,,0,2,0,7,2,13,0,3,226,157,253,3,24,0,17,10,121,1,1,1,0,15,0,340,42,8,5,13,50,9,14,19,1330,0,1,2,6,593
속초,,0,0,5,12,3,24,0,2,310,195,346,1,49,0,26,8,153,4,0,1,1,20,0,303,62,11,10,22,108,4,74,12,1568,1,0,4,9,626
원주,,4,3,2,54,4,60,2,15,1310,506,1624,4,121,4,90,21,574,7,0,1,6,68,1,1787,257,27,49,54,255,69,65,21,6378,5,1,2,72,1378
춘천,,3,3,5,33,3,73,0,9,1117,343,887,4,85,1,63,7,429,3,3,2,11,73,2,973,181,17,49,30,301,62,51,11,5004,8,0,5,61,1188
태백,,0,0,3,2,0,12,0,1,119,114,156,0,18,1,34,1,63,0,1,0,1,22,0,138,14,3,2,9,24,2,2,1,616,5,0,2,6,154
제천,,1,3,2,14,1,34,1,7,463,174,322,4,36,0,19,7,239,3,0,3,5,39,0,448,73,14,16,26,74,35,55,7,1773,2,0,8,25,434
청주,,1,6,17,85,13,222,3,23,3711,835,3068,23,289,0,188,43,1104,8,4,6,16,229,1,3335,555,37,151,246,682,151,121,8,10373,19,1,6,315,3713
충주,,2,6,0,29,7,58,3,9,785,263,383,6,49,1,46,16,282,1,2,0,6,27,2,940,167,12,29,37,160,52,56,5,4168,5,1,1,50,672
계룡,,0,0,0,2,0,1,1,2,54,27,12,1,6,0,6,1,22,0,1,1,1,9,0,74,8,0,1,2,15,2,0,1,171,7,0,0,12,54
공주,,1,1,6,14,0,29,3,5,439,152,113,4,35,0,21,11,67,9,3,1,1,34,0,405,57,15,23,76,71,7,12,1,1216,1,0,5,27,392
논산,,3,0,1,13,2,26,0,6,526,174,141,3,40,2,19,5,109,3,2,2,2,45,1,531,72,6,8,30,64,14,23,11,1326,0,0,1,66,439
당진,,1,1,3,13,1,52,0,1,615,234,336,1,54,0,42,9,200,1,1,1,1,41,0,1454,93,12,21,44,129,28,24,5,2019,6,0,1,74,2602
보령,,0,2,7,12,0,39,0,3,462,136,125,3,11,0,32,8,83,2,2,0,0,21,1,554,73,13,17,33,80,20,48,8,1456,2,0,1,32,634
서산,,2,3,5,10,0,56,1,8,674,208,374,4,39,1,39,12,216,2,0,0,5,45,0,779,93,18,22,47,116,31,14,31,1617,2,0,4,38,635
아산,,0,5,9,33,3,57,4,16,1256,383,861,11,100,0,112,12,387,1,4,1,3,56,2,1076,207,24,46,68,279,37,45,2,2455,11,0,0,88,946
천안,,4,11,8,76,5,208,5,30,3277,613,1606,14,216,3,188,60,897,5,9,2,19,133,0,3248,608,35,157,127,724,59,83,36,8371,19,4,12,604,2523
군산,,1,2,8,19,2,50,4,7,1010,342,885,10,88,0,122,18,308,5,1,2,4,67,0,2195,172,28,39,190,215,10,87,17,2834,8,1,8,89,2014
김제,,0,1,0,6,0,14,2,1,243,67,264,6,26,0,19,5,60,2,0,0,1,20,0,330,38,3,13,29,45,5,14,2,1018,1,0,4,21,323
남원,,0,0,2,6,1,17,0,2,239,106,245,1,28,0,20,2,66,0,0,0,0,12,0,363,34,5,14,20,51,2,31,0,695,2,0,3,15,298
익산,,4,5,15,25,4,64,3,13,1153,202,991,11,72,0,78,9,340,0,2,1,4,83,0,1239,146,14,21,192,214,9,68,41,3088,4,0,19,65,1539
전주,,3,7,12,62,7,165,6,12,2386,499,1724,15,131,4,185,30,499,5,4,5,3,226,1,2916,361,46,109,236,420,44,155,5,5580,20,0,22,161,2871
정읍,,0,3,1,11,4,22,1,2,245,119,272,1,50,1,27,2,101,1,1,0,2,33,2,513,63,11,9,14,62,1,32,6,1095,3,0,5,18,369
광양,,0,2,5,21,1,25,1,4,401,194,288,5,25,3,36,9,127,0,0,1,0,46,0,568,65,22,20,20,87,9,31,8,2450,3,0,5,17,390
나주,,0,0,0,4,0,6,0,2,45,10,18,0,4,0,3,0,12,0,0,0,0,9,0,183,23,10,2,3,25,2,5,5,253,0,0,3,2,103
목포,,1,4,5,33,5,97,5,15,1196,342,1240,13,107,1,90,25,354,2,0,2,2,67,0,1201,210,21,31,89,238,19,37,24,4356,27,0,4,98,1758
순천,,3,2,4,30,1,72,3,7,884,330,865,10,113,4,59,34,294,0,2,2,3,65,0,913,153,6,30,76,221,25,41,3,5024,7,0,3,65,823
여수,,3,0,6,20,2,67,0,8,1076,336,1121,9,86,0,66,22,377,3,0,1,1,100,2,1753,174,19,26,61,209,39,53,1291,4975,6,0,24,59,1143
경산,,2,1,6,36,2,50,0,3,1319,243,859,12,76,1,40,14,405,0,2,0,4,83,0,877,223,5,60,117,231,26,23,1,2344,11,0,0,96,876
경주,,3,3,6,21,1,60,1,13,1143,364,483,4,59,0,57,28,313,1,1,0,3,62,0,1065,182,24,37,184,183,23,48,43,3794,3,0,1,50,913
구미,,1,4,15,35,4,72,1,9,1562,446,868,8,125,3,110,30,583,2,1,1,6,93,1,2621,330,36,68,221,386,39,78,29,8552,21,0,10,199,1414
김천,,1,0,1,15,0,17,1,5,450,186,335,3,42,1,41,7,154,3,1,0,0,24,0,393,54,4,9,20,90,20,37,5,1916,2,0,1,20,413
문경,,0,0,0,9,0,12,0,2,228,86,158,2,23,0,16,5,67,0,0,0,1,12,0,186,22,4,0,9,34,31,4,0,920,1,0,0,10,211
상주,,0,1,2,6,0,17,1,3,262,137,143,2,30,0,21,1,76,0,0,0,1,21,0,256,35,4,11,20,26,43,11,29,1112,3,0,10,16,233
안동,,1,1,1,13,0,44,0,5,574,276,513,3,50,0,27,10,177,2,4,0,4,54,2,1324,94,11,16,43,154,16,29,14,1609,3,0,11,25,551
영주,,1,1,1,3,1,16,0,2,269,154,192,2,22,0,21,6,91,0,0,1,2,30,0,510,44,6,32,80,75,29,9,1,1227,10,0,0,15,285
영천,,2,1,1,9,0,13,0,6,344,155,176,3,28,0,21,13,128,1,2,2,0,19,0,454,48,8,10,20,63,18,13,37,1154,0,0,3,20,282
포항,,5,6,7,57,7,97,3,10,1942,642,1172,12,133,0,130,63,527,0,0,2,5,91,2,2395,262,25,64,118,478,16,92,53,7488,19,0,6,137,1828
거제,,2,0,5,18,4,73,2,10,1114,532,620,9,88,7,76,13,340,2,2,2,0,70,0,1426,490,24,35,115,349,42,53,31,4820,21,0,4,104,1223
김해,,5,4,10,31,6,111,4,17,2380,681,1618,7,142,2,142,29,572,0,5,6,0,110,1,2666,339,39,82,82,585,152,131,78,7346,33,0,14,173,2036
밀양,,2,0,4,8,0,12,0,5,413,170,164,5,27,0,21,8,101,0,0,0,0,13,0,455,59,11,7,8,82,40,39,24,1243,1,1,1,37,392
사천,,0,3,1,5,2,25,4,2,307,177,228,4,31,0,36,4,110,1,0,1,0,46,1,447,56,6,5,13,72,25,36,15,1908,3,0,3,15,534
양산,,3,1,7,31,4,76,1,5,974,312,716,9,92,2,79,15,267,3,3,2,5,54,1,1284,191,17,49,55,272,33,93,8,3760,11,0,8,164,1476
진주,,2,3,6,32,1,74,3,6,1700,395,808,7,93,0,56,44,349,2,3,4,1,77,1,1312,127,34,46,52,455,128,102,46,3749,12,0,18,80,1349
창원,,3,15,26,68,7,202,7,29,3760,1243,2736,16,208,1,272,60,1079,12,3,5,13,237,1,5568,765,78,188,309,997,164,261,69,12594,78,4,23,292,4535
통영,,0,3,1,15,1,27,3,0,551,372,343,3,42,0,51,10,164,1,0,1,0,25,0,728,94,9,20,75,140,27,20,23,2430,70,0,4,41,2308
서귀포,,0,1,1,16,3,95,1,11,927,344,701,4,92,2,77,17,395,0,0,1,1,45,0,806,91,11,25,47,643,5,26,15,4060,3,0,5,84,1265
제주,,4,11,24,68,13,223,7,15,2573,638,2411,14,268,2,134,42,962,1,5,3,15,127,0,2310,626,21,167,244,713,34,88,13,11642,8,2,12,145,3480
